source_pool	source_reference	source_sequences	generated_sequences	feature	source_min	source_mean	source_sd_population	source_q01	source_q05	source_median	source_q95	source_q99	source_max	generated_min	generated_mean	generated_sd_population	generated_q01	generated_q05	generated_median	generated_q95	generated_q99	generated_max	generated_within_source_minmax_fraction	generated_within_source_q01_q99_fraction	generated_minus_source_standardized_mean_difference	two_sample_ks_statistic	two_sample_ks_p_value_descriptive_only	wasserstein_distance_source_units	p5_standardized_coefficient	p5_active_feature
GCfix	full_training_pool	11994	64646	left_boundary_vs_right_adapter_complement_4mers	0.0	1.4988327497081875	1.4565716959447528	0.0	0.0	1.0	4.0	6.0	10.0	0.0	1.5610091885035424	1.4795310590929638	0.0	0.0	1.0	4.0	6.0	12.0	0.9999690622776352	0.993982613000031	0.04235174522803205	0.01678698510430432	0.00660270323077777	0.06393258917406397	1.1381157539836082e-05	True
GCfix	full_training_pool	11994	64646	left_boundary_vs_right_adapter_max_rc_tract	2.0	4.017675504418876	0.9065127037515607	3.0	3.0	4.0	6.0	7.0	10.0	2.0	4.044565789066609	0.9029800919531973	3.0	3.0	4.0	6.0	7.0	12.0	0.9999690622776352	0.9937815178046592	0.029721293688099757	0.01678698510430432	0.00660270323077777	0.027720898265342082	-0.00018773988553879824	True
GCfix	full_training_pool	11994	64646	max_homopolymer	2.0	4.029764882441221	0.9309302571366629	3.0	3.0	4.0	6.0	7.0	11.0	2.0	2.986805061411379	0.11410886111193827	2.0	3.0	3.0	3.0	3.0	3.0	1.0	0.9868050614113789	-1.5726320944945371	0.705019176254794	0.0	1.0429598210298419	-9.215168039485586e-06	True
GCfix	full_training_pool	11994	64646	right_boundary_vs_left_adapter_complement_4mers	0.0	1.4007837251959312	1.4629101495995909	0.0	0.0	1.0	4.0	6.0	11.0	0.0	1.469851189555425	1.496268600687603	0.0	0.0	1.0	4.0	6.0	12.0	0.9999845311388176	0.9929152615784426	0.046677191300900665	0.02214762776411361	9.634129265904287e-05	0.0694439635950968	-0.0003682096216520459	True
GCfix	full_training_pool	11994	64646	right_boundary_vs_left_adapter_max_rc_tract	2.0	3.9398866099716523	0.912261456106716	2.0	3.0	4.0	6.0	7.0	10.0	2.0	3.9783126566222196	0.9241371926587447	3.0	3.0	4.0	6.0	7.0	12.0	0.9999845311388176	0.996797945735235	0.04184847686218132	0.01755700525550752	0.0038644048299032972	0.03872547242074884	0.00046375778757457795	True
GCfix	full_training_pool	11994	64646	right_boundary_vs_right_adapter_complement_4mers	0.0	1.484325496081374	1.4341633490277372	0.0	0.0	1.0	4.0	6.0	11.0	0.0	1.5588280790768183	1.475651766589411	0.0	0.0	1.0	4.0	6.0	12.0	0.9999845311388176	0.9939052686941188	0.051202573534050125	0.021944523190242426	0.00011549988734262395	0.07451464442530742	-0.0005299180771042106	True
GCfix	full_training_pool	11994	64646	right_boundary_vs_right_adapter_max_rc_tract	2.0	4.009754877438719	0.8939917042094052	3.0	3.0	4.0	6.0	7.0	10.0	2.0	4.0465303344367785	0.9048234720013341	3.0	3.0	4.0	6.0	7.0	12.0	0.9999690622776352	0.9935185471645578	0.040887791883105096	0.016441423591066207	0.008331712903513023	0.036970008171283396	-0.00014984361765271192	True
GCfix	full_training_pool	11994	64646	variable_candidate_pairs	3.0	23.857595464398866	8.872481326187236	8.0	11.0	23.0	40.0	49.0	89.0	1.0	24.977338118367726	9.150781917813465	9.0	12.0	24.0	42.0	52.0	101.0	0.9998917179717229	0.9799059493240108	0.12424045217573026	0.050067642799526746	1.7638095421844623e-22	1.120828125909008	-0.004953277743175647	True
GCfix	full_training_pool	11994	64646	variable_longest_stem	4.0	5.7344505586126395	0.933740517904105	4.0	5.0	6.0	7.0	9.0	12.0	4.0	5.789793645391827	0.9421968108725615	4.0	5.0	6.0	7.0	9.0	13.0	0.9999381245552702	0.9971227918200662	0.05900253025882227	0.029158034657791265	6.61107436541733e-08	0.056234121041174125	0.00028422693170282866	True
GCfix	full_training_pool	11994	64646	variable_weighted_pairs	12.0	102.8545939636485	42.044768786146555	32.0	46.0	97.0	178.0	234.0	416.0	4.0	107.87974507316771	43.50655894954335	36.0	49.0	102.0	187.0	243.0	564.0	0.9997834359434459	0.9821334653342821	0.11745972489271098	0.04916407507139181	1.0851045784748099e-21	5.0387922204148765	0.006363667690553294	True
GCfix	codec_eligible_training_subset	3538	64646	base_freq_A	0.138888888889	0.2503402215103759	0.03194375348394128	0.175925925926	0.194444444444	0.25	0.305555555556	0.324074074074	0.361111111111	0.1111111111111111	0.24976825354265567	0.034734349385488375	0.16666666666666666	0.19444444444444445	0.25	0.3055555555555556	0.3333333333333333	0.3888888888888889	0.9982829564087492	0.9551712402932896	-0.017141090682660037	0.12619283589031838	5.121960126828908e-47	0.0024443242627342726	0.00012597633189350346	True
GCfix	codec_eligible_training_subset	3538	64646	base_freq_C	0.138888888889	0.2501884303749816	0.032113723510320394	0.175925925926	0.194444444444	0.25	0.305555555556	0.324074074074	0.361111111111	0.1111111111111111	0.25006946664512486	0.03465885639532289	0.17592592592592593	0.19444444444444445	0.25	0.3055555555555556	0.3333333333333333	0.4074074074074074	0.9980663923521951	0.9560684342418712	-0.003560665323601089	0.11834470173665906	2.187762132498494e-41	0.00211324916225866	0.00010302855523368962	True
