dataset	analysis	pool_or_direction	endpoint	model	repeat	fold	feature	standardized_coefficient	selected_regularization
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	3	2	gc_deviation_from_0p5	-0.017357857293953276	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	3	2	longest_stem	-0.001852238454427655	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	3	2	max_homopolymer	0.0016114617582127665	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	3	3	candidate_pairs	-0.02018709301032885	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	3	3	gc_deviation_from_0p5	-0.016863321650872738	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	3	3	longest_stem	-0.0010058222059257174	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	3	3	max_homopolymer	0.006034310104406123	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	3	4	candidate_pairs	-0.019876290064200896	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	3	4	gc_deviation_from_0p5	-0.019553861480515036	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	3	4	longest_stem	-0.0010084833887264372	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	3	4	max_homopolymer	0.008017784617281731	100.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	4	0	candidate_pairs	-0.025589076104398194	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	4	0	gc_deviation_from_0p5	-0.018672090127961952	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	4	0	longest_stem	0.0004669680005181666	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	4	0	max_homopolymer	0.004130326219802791	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	4	1	candidate_pairs	-0.01601002032919291	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	4	1	gc_deviation_from_0p5	-0.0173138700753547	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	4	1	longest_stem	-0.001231855381702886	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	4	1	max_homopolymer	0.007187934150047158	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	4	2	candidate_pairs	-0.020273119245254767	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	4	2	gc_deviation_from_0p5	-0.018311095261871843	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	4	2	longest_stem	-0.0051786502288783615	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	4	2	max_homopolymer	0.005538216567330069	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	4	3	candidate_pairs	-0.0193503515098796	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	4	3	gc_deviation_from_0p5	-0.020381143555426615	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	4	3	longest_stem	0.0004233379877528027	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	4	3	max_homopolymer	0.0037980261267957925	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	4	4	candidate_pairs	-0.017284600286550177	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	4	4	gc_deviation_from_0p5	-0.017641061420660624	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	4	4	longest_stem	0.0005762043442596502	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D1_structural_rules	4	4	max_homopolymer	0.005164746118308755	1000.0
DT4DDS	selection_continuous_oof	Genscript_GCall	day7_vs_day0_log2fc_plus1	D2_assay_calibrated	0	0	candidate_pairs	-0.011875953967139764	1000.0
