dataset	evaluation	pool_or_direction	endpoint	model	retention_fraction	achieved_retention_fraction	selected_n	n_sequences	pool_mean_outcome	selected_mean_outcome	outcome_gain_vs_pool	standardized_gain_vs_pool	outcome_gain_ci_2p5	outcome_gain_ci_97p5	pool_adverse_event_rate	pool_adverse_events	selected_adverse_event_rate	selected_adverse_events	selected_to_pool_event_rate_ratio	event_rate_change_vs_pool	event_change_ci_2p5	event_change_ci_97p5	finite_pool_penalty_bits_per_sequence	finite_pool_penalty_bits_per_nt	rate_boundary
DT4DDS	repeated_nested_oof	Twist_GCall	mean_log2_cpm_plus1	D0_composition	0.5	0.5	6000	12000	6.304272344755834	6.315188254265834	0.010915909510000432	0.018604973471313044	0.0005456132971147776	0.0217503996763823	0.0023333333333333335	28	0.0028333333333333335	17	1.2142857142857142	0.0005	-0.00035558764367036146	0.0013586309228581803	1.0	0.009259259259259259	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Twist_GCall	mean_log2_cpm_plus1	D1_structural_rules	0.5	0.5	6000	12000	6.304272344755834	6.315012666696	0.010740321940166275	0.0183057036692261	0.00033045275487908476	0.021472174080293692	0.0023333333333333335	28	0.0028333333333333335	17	1.2142857142857142	0.0005	-0.0004052511212768059	0.0013669069023452545	1.0	0.009259259259259259	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Twist_GCall	mean_log2_cpm_plus1	D2_assay_calibrated	0.5	0.5	6000	12000	6.304272344755834	6.315478545366832	0.011206200610998529	0.0190997428927781	0.0009169941398974757	0.021889815275144678	0.0023333333333333335	28	0.0028333333333333335	17	1.2142857142857142	0.0005	-0.00033710885767157647	0.001365595493696716	1.0	0.009259259259259259	finite observed-pool retention cost; not full-language capacity
DT4DDS	repeated_nested_oof	Twist_GCall	mean_log2_cpm_plus1	F0_frozen_low_proxy	0.5	0.5	6000	12000	6.304272344755834	6.3122215030625	0.007949158306666426	0.01354847063172391	-0.0024590151988649334	0.018896543587101994	0.0023333333333333335	28	0.0025	15	1.0714285714285714	0.00016666666666666653	-0.0006709525412095663	0.0010052095961632015	1.0	0.009259259259259259	finite observed-pool retention cost; not full-language capacity
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	F0_frozen_low_proxy	0.1	0.10001666944490749	1200	11998	1.0	0.9994087382766917	-0.0005912617233082562	-0.07571182894057493	-0.000978148555508465	-0.00023510022378049112	0.020003333888981498	240	0.021666666666666667	26	1.0831527777777779	0.0016633327776851697	-0.005545784164178395	0.010153007633119345	3.321687625674223	0.030756366904390955	finite observed-pool retention cost; not full-language capacity
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	P0_composition	0.1	0.10001666944490749	1200	11998	1.0	1.0013708754922326	0.0013708754922325816	0.17554238110662823	0.0008672565393047005	0.0018034768515310378	0.020003333888981498	240	0.021666666666666667	26	1.0831527777777779	0.0016633327776851697	-0.005663597254331399	0.009576886498774778	3.321687625674223	0.030756366904390955	finite observed-pool retention cost; not full-language capacity
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	P1_variable_structure	0.1	0.10001666944490749	1200	11998	1.0	1.0013478953717556	0.0013478953717556141	0.17259974693634747	0.0008864842608228895	0.0017913056018045873	0.020003333888981498	240	0.021666666666666667	26	1.0831527777777779	0.0016633327776851697	-0.0055782516371986135	0.009453918989427835	3.321687625674223	0.030756366904390955	finite observed-pool retention cost; not full-language capacity
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	P2_assay_context	0.1	0.10001666944490749	1200	11998	1.0	1.0021586309242527	0.0021586309242527246	0.27641548376986796	0.0017887666996175722	0.002489062328614974	0.020003333888981498	240	0.009166666666666667	11	0.4582569444444444	-0.010836667222314831	-0.016074565361478995	-0.0051052392197681725	3.321687625674223	0.030756366904390955	finite observed-pool retention cost; not full-language capacity
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	P3_assay_calibrated	0.1	0.10001666944490749	1200	11998	1.0	1.0021614077279555	0.0021614077279554778	0.2767710570780268	0.001782424924767287	0.002492981782951495	0.020003333888981498	240	0.009166666666666667	11	0.4582569444444444	-0.010836667222314831	-0.01608250387231483	-0.005108506981114474	3.321687625674223	0.030756366904390955	finite observed-pool retention cost; not full-language capacity
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	P4_full_structural_context	0.1	0.10001666944490749	1200	11998	1.0	1.0023490348468385	0.0023490348468384603	0.3007969524970596	0.001990186018475326	0.002676518677286652	0.020003333888981498	240	0.006666666666666667	8	0.3332777777777778	-0.01333666722231483	-0.01784075314333671	-0.008180026941461718	3.321687625674223	0.030756366904390955	finite observed-pool retention cost; not full-language capacity
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	P5_combined_context	0.1	0.10001666944490749	1200	11998	1.0	1.0029419990117021	0.002941999011702112	0.37672678128227566	0.002684173526076744	0.0032024877249394483	0.020003333888981498	240	0.004166666666666667	5	0.2082986111111111	-0.015836667222314832	-0.019667770316238332	-0.011716022896432546	3.321687625674223	0.030756366904390955	finite observed-pool retention cost; not full-language capacity
Gimpel2025_PCR	repeated_nested_oof	GCall	relative_efficiency	P6_full_amplicon_replacement	0.1	0.10001666944490749	1200	11998	1.0	1.002760603646373	0.0027606036463729833	0.353498869971582	0.0025075118058916685	0.0030120985994901844	0.020003333888981498	240	0.0033333333333333335	4	0.1666388888888889	-0.016670000555648164	-0.020337348180715305	-0.012713756509151863	3.321687625674223	0.030756366904390955	finite observed-pool retention cost; not full-language capacity
