dataset	direction	selector_bits	feature	negative_fibers	nonnegative_fibers	negative_fiber_selected_feature_mean	nonnegative_fiber_selected_feature_mean	standardized_mean_difference_negative_minus_nonnegative	analysis_role
same-source-publication altered-protocol Q5 codebook	GCfix_to_external_Q5	2	base_freq_A	122	134	0.2530358227079836	0.26492537313438064	-0.3939383379647578	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCfix_to_external_Q5	2	base_freq_C	122	134	0.26161202185795085	0.2562189054726641	0.1668140317923176	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCfix_to_external_Q5	2	base_freq_G	122	134	0.24301760777169673	0.23714759535655972	0.17910151475106323	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCfix_to_external_Q5	2	base_freq_T	122	134	0.24233454766242626	0.24170812603647765	0.01978494255426973	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCfix_to_external_Q5	2	variable_candidate_pairs	122	134	28.491803278688526	27.574626865671643	0.10241438092086669	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCfix_to_external_Q5	2	variable_weighted_pairs	122	134	124.19672131147541	119.75373134328358	0.10258490394134918	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCfix_to_external_Q5	2	variable_longest_stem	122	134	6.040983606557377	5.91044776119403	0.13164961260820474	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCfix_to_external_Q5	2	full_amplicon_candidate_pairs	122	134	113.48360655737704	103.57462686567165	0.7480795188214484	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCfix_to_external_Q5	2	full_amplicon_weighted_pairs	122	134	680.2704918032787	602.0149253731344	0.9864380006350862	post hoc exploratory selected-sequence feature stratification
same-source-publication altered-protocol Q5 codebook	GCfix_to_external_Q5	2	full_amplicon_longest_stem	122	134	13.811475409836065	13.164179104477611	1.1602820446943647	post hoc exploratory selected-sequence feature stratification
